TIMESTAMP: 6.700000, X: 4.251584, Y: 14.616879, Z: -8.820149, PITCH: 0.201539, YAW: -2.116565
TIMESTAMP: 6.800000, X: 4.123529, Y: 14.564268, Z: -8.812308, PITCH: 0.194510, YAW: -2.133136
TIMESTAMP: 6.900000, X: 3.987796, Y: 14.512418, Z: -8.806840, PITCH: 0.187462, YAW: -2.149713
TIMESTAMP: 7.000000, X: 3.844814, Y: 14.461253, Z: -8.803640, PITCH: 0.180528, YAW: -2.166283
TIMESTAMP: 7.100000, X: 3.695045, Y: 14.410697, Z: -8.802592, PITCH: 0.173608, YAW: -2.182839
TIMESTAMP: 7.200000, X: 3.538978, Y: 14.360674, Z: -8.803571, PITCH: 0.166621, YAW: -2.199415
TIMESTAMP: 7.300000, X: 3.377132, Y: 14.311112, Z: -8.806445, PITCH: 0.159619, YAW: -2.216017
TIMESTAMP: 7.400000, X: 3.210045, Y: 14.261943, Z: -8.811075, PITCH: 0.152664, YAW: -2.232579
TIMESTAMP: 7.500000, X: 3.038278, Y: 14.213106, Z: -8.817316, PITCH: 0.145733, YAW: -2.249093
TIMESTAMP: 7.600000, X: 2.862408, Y: 14.164545, Z: -8.825020, PITCH: 0.138754, YAW: -2.265681
TIMESTAMP: 7.700000, X: 2.683024, Y: 14.116216, Z: -8.834035, PITCH: 0.131732, YAW: -2.282364
TIMESTAMP: 7.800000, X: 2.500726, Y: 14.068084, Z: -8.844207, PITCH: 0.124781, YAW: -2.298904
TIMESTAMP: 7.900000, X: 2.316119, Y: 14.020126, Z: -8.855382, PITCH: 0.117913, YAW: -2.315247
TIMESTAMP: 8.000000, X: 2.129815, Y: 13.972330, Z: -8.867405, PITCH: 0.110922, YAW: -2.331871
TIMESTAMP: 8.100000, X: 1.942423, Y: 13.924699, Z: -8.880123, PITCH: 0.103684, YAW: -2.349077
TIMESTAMP: 8.200000, X: 1.754551, Y: 13.877251, Z: -8.893386, PITCH: 0.096528, YAW: -2.366099
TIMESTAMP: 8.300000, X: 1.566801, Y: 13.830017, Z: -8.907045, PITCH: 0.090001, YAW: -2.381627
TIMESTAMP: 8.400000, X: 1.379764, Y: 13.783044, Z: -8.920957, PITCH: 0.084259, YAW: -2.395284
TIMESTAMP: 8.500000, X: 1.194025, Y: 13.736395, Z: -8.934983, PITCH: 0.078872, YAW: -2.408095
