TIMESTAMP: 6.700000, X: 6.763039, Y: 9.672338, Z: -2.791078, PITCH: 0.404690, YAW: 1.155718
TIMESTAMP: 6.800000, X: 6.848597, Y: 9.787455, Z: -2.903551, PITCH: 0.406510, YAW: 1.169407
TIMESTAMP: 6.900000, X: 6.932163, Y: 9.898588, Z: -3.019486, PITCH: 0.408382, YAW: 1.183138
TIMESTAMP: 7.000000, X: 7.013741, Y: 10.005666, Z: -3.138656, PITCH: 0.409706, YAW: 1.196413
TIMESTAMP: 7.100000, X: 7.093342, Y: 10.108629, Z: -3.260809, PITCH: 0.410995, YAW: 1.209660
TIMESTAMP: 7.200000, X: 7.170981, Y: 10.207426, Z: -3.385665, PITCH: 0.412574, YAW: 1.223147
TIMESTAMP: 7.300000, X: 7.246680, Y: 10.302014, Z: -3.512913, PITCH: 0.414172, YAW: 1.236650
TIMESTAMP: 7.400000, X: 7.320464, Y: 10.392359, Z: -3.642222, PITCH: 0.415615, YAW: 1.250024
TIMESTAMP: 7.500000, X: 7.392365, Y: 10.478435, Z: -3.773233, PITCH: 0.417048, YAW: 1.263390
TIMESTAMP: 7.600000, X: 7.462414, Y: 10.560225, Z: -3.905567, PITCH: 0.418564, YAW: 1.276825
TIMESTAMP: 7.700000, X: 7.530649, Y: 10.637717, Z: -4.038823, PITCH: 0.420086, YAW: 1.290265
TIMESTAMP: 7.800000, X: 7.597106, Y: 10.710907, Z: -4.172582, PITCH: 0.421563, YAW: 1.303668
TIMESTAMP: 7.900000, X: 7.661825, Y: 10.779797, Z: -4.306410, PITCH: 0.423036, YAW: 1.317065
TIMESTAMP: 8.000000, X: 7.724847, Y: 10.844394, Z: -4.439855, PITCH: 0.424534, YAW: 1.330486
TIMESTAMP: 8.100000, X: 7.786211, Y: 10.904714, Z: -4.572458, PITCH: 0.426036, YAW: 1.343912
TIMESTAMP: 8.200000, X: 7.845958, Y: 10.960774, Z: -4.703747, PITCH: 0.427522, YAW: 1.357321
TIMESTAMP: 8.300000, X: 7.904125, Y: 11.012597, Z: -4.833245, PITCH: 0.429003, YAW: 1.370722
TIMESTAMP: 8.400000, X: 7.960750, Y: 11.060212, Z: -4.960470, PITCH: 0.430497, YAW: 1.384140
TIMESTAMP: 8.500000, X: 8.015868, Y: 11.103649, Z: -5.084937, PITCH: 0.431999, YAW: 1.397573
TIMESTAMP: 8.600000, X: 8.069511, Y: 11.142945, Z: -5.206164, PITCH: 0.433486, YAW: 1.410981
TIMESTAMP: 8.700000, X: 8.121708, Y: 11.178136, Z: -5.323671, PITCH: 0.434959, YAW: 1.424361
TIMESTAMP: 8.800000, X: 8.172485, Y: 11.209265, Z: -5.436985, PITCH: 0.436456, YAW: 1.437785
TIMESTAMP: 8.900000, X: 8.221862, Y: 11.236375, Z: -5.545640, PITCH: 0.437976, YAW: 1.451261
TIMESTAMP: 9.000000, X: 8.269856, Y: 11.259511, Z: -5.649182, PITCH: 0.439457, YAW: 1.464655
TIMESTAMP: 9.100000, X: 8.316481, Y: 11.278722, Z: -5.747171, PITCH: 0.440893, YAW: 1.477953
TIMESTAMP: 9.200000, X: 8.361742, Y: 11.294055, Z: -5.839184, PITCH: 0.442401, YAW: 1.491404
TIMESTAMP: 9.300000, X: 8.405641, Y: 11.305561, Z: -5.924813, PITCH: 0.443993, YAW: 1.505035
TIMESTAMP: 9.400000, X: 8.448175, Y: 11.313293, Z: -6.003675, PITCH: 0.445451, YAW: 1.518378
TIMESTAMP: 9.500000, X: 8.489334, Y: 11.317301, Z: -6.075408, PITCH: 0.446752, YAW: 1.531386
TIMESTAMP: 9.600000, X: 8.529104, Y: 11.317639, Z: -6.139673, PITCH: 0.448304, YAW: 1.544931
TIMESTAMP: 9.700000, X: 8.567462, Y: 11.314360, Z: -6.196162, PITCH: 0.450151, YAW: 1.559112
