TIMESTAMP: 9.200000, X: 4.513776, Y: 7.611901, Z: 3.045857, PITCH: 0.203368, YAW: -2.303905
TIMESTAMP: 9.300000, X: 4.526452, Y: 7.643283, Z: 2.890902, PITCH: 0.194601, YAW: -2.292475
TIMESTAMP: 9.400000, X: 4.543210, Y: 7.671977, Z: 2.732843, PITCH: 0.185178, YAW: -2.280225
TIMESTAMP: 9.500000, X: 4.564147, Y: 7.698016, Z: 2.572127, PITCH: 0.174371, YAW: -2.266165
TIMESTAMP: 9.600000, X: 4.589344, Y: 7.721434, Z: 2.409207, PITCH: 0.162653, YAW: -2.250909
TIMESTAMP: 9.700000, X: 4.618866, Y: 7.742263, Z: 2.244536, PITCH: 0.150998, YAW: -2.235751
TIMESTAMP: 9.800000, X: 4.652760, Y: 7.760531, Z: 2.078571, PITCH: 0.139579, YAW: -2.220888
TIMESTAMP: 9.900000, X: 4.691057, Y: 7.776259, Z: 1.911762, PITCH: 0.128038, YAW: -2.205835
TIMESTAMP: 10.000000, X: 4.733764, Y: 7.789461, Z: 1.744555, PITCH: 0.116538, YAW: -2.190872
TIMESTAMP: 10.100000, X: 4.780873, Y: 7.800139, Z: 1.577387, PITCH: 0.105311, YAW: -2.176327
TIMESTAMP: 10.200000, X: 4.832353, Y: 7.808286, Z: 1.410683, PITCH: 0.093782, YAW: -2.161309
TIMESTAMP: 10.300000, X: 4.888152, Y: 7.813875, Z: 1.244850, PITCH: 0.081699, YAW: -2.145450
TIMESTAMP: 10.400000, X: 4.948199, Y: 7.816868, Z: 1.080282, PITCH: 0.070306, YAW: -2.130644
TIMESTAMP: 10.500000, X: 5.012401, Y: 7.817205, Z: 0.917347, PITCH: 0.060076, YAW: -2.117602
TIMESTAMP: 10.600000, X: 5.080647, Y: 7.814809, Z: 0.756395, PITCH: 0.048445, YAW: -2.102432
TIMESTAMP: 10.700000, X: 5.152804, Y: 7.809584, Z: 0.597748, PITCH: 0.033448, YAW: -2.082160
TIMESTAMP: 10.800000, X: 5.228722, Y: 7.801412, Z: 0.441703, PITCH: 0.018992, YAW: -2.062707
TIMESTAMP: 10.900000, X: 5.308232, Y: 7.790158, Z: 0.288528, PITCH: 0.012536, YAW: -2.055386
TIMESTAMP: 11.000000, X: 5.391149, Y: 7.775663, Z: 0.138464, PITCH: 0.016894, YAW: -2.064460
TIMESTAMP: 11.100000, X: 5.477271, Y: 7.757756, Z: -0.008278, PITCH: 0.026795, YAW: -2.081934
TIMESTAMP: 11.200000, X: 5.566384, Y: 7.736244, Z: -0.151514, PITCH: 0.035469, YAW: -2.097549
TIMESTAMP: 11.300000, X: 5.658260, Y: 7.710925, Z: -0.291091, PITCH: 0.041892, YAW: -2.109753
TIMESTAMP: 11.400000, X: 5.752660, Y: 7.681584, Z: -0.426879, PITCH: 0.048716, YAW: -2.122566
TIMESTAMP: 11.500000, X: 5.849335, Y: 7.648000, Z: -0.558776, PITCH: 0.056660, YAW: -2.137073
TIMESTAMP: 11.600000, X: 5.948031, Y: 7.609947, Z: -0.686700, PITCH: 0.064414, YAW: -2.151293
TIMESTAMP: 11.700000, X: 6.048486, Y: 7.567202, Z: -0.810593, PITCH: 0.071590, YAW: -2.164639
TIMESTAMP: 11.800000, X: 6.150436, Y: 7.519543, Z: -0.930414, PITCH: 0.078870, YAW: -2.178143
TIMESTAMP: 11.900000, X: 6.253613, Y: 7.466760, Z: -1.046139, PITCH: 0.086438, YAW: -2.192081
TIMESTAMP: 12.000000, X: 6.357752, Y: 7.408653, Z: -1.157758, PITCH: 0.093940, YAW: -2.205917
TIMESTAMP: 12.100000, X: 6.462587, Y: 7.345039, Z: -1.265272, PITCH: 0.101325, YAW: -2.219580
TIMESTAMP: 12.200000, X: 6.567857, Y: 7.275757, Z: -1.368693, PITCH: 0.108762, YAW: -2.233323
TIMESTAMP: 12.300000, X: 6.673303, Y: 7.200666, Z: -1.468038, PITCH: 0.116200, YAW: -2.247062
TIMESTAMP: 12.400000, X: 6.778675, Y: 7.119653, Z: -1.563330, PITCH: 0.123630, YAW: -2.260793
TIMESTAMP: 12.500000, X: 6.883729, Y: 7.032635, Z: -1.654596, PITCH: 0.131277, YAW: -2.274894
TIMESTAMP: 12.600000, X: 6.988227, Y: 6.939557, Z: -1.741865, PITCH: 0.139110, YAW: -2.289385
TIMESTAMP: 12.700000, X: 7.091944, Y: 6.840397, Z: -1.825169, PITCH: 0.146892, YAW: -2.303836
TIMESTAMP: 12.800000, X: 7.194659, Y: 6.735165, Z: -1.904538, PITCH: 0.154615, YAW: -2.318046
TIMESTAMP: 12.900000, X: 7.296164, Y: 6.623904, Z: -1.980007, PITCH: 0.162379, YAW: -2.332240
TIMESTAMP: 13.000000, X: 7.396260, Y: 6.506686, Z: -2.051611, PITCH: 0.170117, YAW: -2.346658
TIMESTAMP: 13.100000, X: 7.494756, Y: 6.383615, Z: -2.119384, PITCH: 0.177801, YAW: -2.361144
TIMESTAMP: 13.200000, X: 7.591470, Y: 6.254825, Z: -2.183368, PITCH: 0.185603, YAW: -2.375326
TIMESTAMP: 13.300000, X: 7.686231, Y: 6.120476, Z: -2.243603, PITCH: 0.193502, YAW: -2.389357
TIMESTAMP: 13.400000, X: 7.778874, Y: 5.980754, Z: -2.300138, PITCH: 0.201132, YAW: -2.403905
TIMESTAMP: 13.500000, X: 7.869242, Y: 5.835868, Z: -2.353025, PITCH: 0.208567, YAW: -2.418788
TIMESTAMP: 13.600000, X: 7.957186, Y: 5.686047, Z: -2.402323, PITCH: 0.216566, YAW: -2.432659
TIMESTAMP: 13.700000, X: 8.042563, Y: 5.531541, Z: -2.448099, PITCH: 0.225206, YAW: -2.445413
TIMESTAMP: 13.800000, X: 8.125235, Y: 5.372613, Z: -2.490429, PITCH: 0.232942, YAW: -2.459758
TIMESTAMP: 13.900000, X: 8.205071, Y: 5.209541, Z: -2.529400, PITCH: 0.238144, YAW: -2.478531
TIMESTAMP: 14.000000, X: 8.281941, Y: 5.042615, Z: -2.565107, PITCH: 0.241180, YAW: -2.501079
TIMESTAMP: 14.100000, X: 8.355723, Y: 4.872135, Z: -2.597657, PITCH: 0.243921, YAW: -2.524144
TIMESTAMP: 14.200000, X: 8.426294, Y: 4.698405, Z: -2.627172, PITCH: 0.247358, YAW: -2.545996
TIMESTAMP: 14.300000, X: 8.493538, Y: 4.521738, Z: -2.653780, PITCH: 0.250980, YAW: -2.567513
TIMESTAMP: 14.400000, X: 8.557336, Y: 4.342449, Z: -2.677627, PITCH: 0.254275, YAW: -2.589608
TIMESTAMP: 14.500000, X: 8.617576, Y: 4.160858, Z: -2.698865, PITCH: 0.257470, YAW: -2.611902
